,strike,call_price,put_price,call_iv,put_iv,avg_iv,spot,expiry,symbol,time_to_expiry,atm_strike,strike_iv,atm_iv,distance,iv_multiple,distance_squared
12,17500,1054.2,1.8,0.299988146,0.193768492,0.246878319,18518.7,08-Jun-23,NIFTY,0.016957239,18500,0.193768492,0.09878876,-0.055009261,1.961442693,0.003026019
11,17550,975.4,1.9,,0.186682469,0.186682469,18518.7,08-Jun-23,NIFTY,0.016957239,18500,0.186682469,0.09878876,-0.052309287,1.889713652,0.002736262
9,17600,911.25,1.9,,0.178187256,0.178187256,18518.7,08-Jun-23,NIFTY,0.016957239,18500,0.178187256,0.09878876,-0.049609314,1.803719928,0.002461084
10,17650,892.6,2,0.224493246,0.17087171,0.197682478,18518.7,08-Jun-23,NIFTY,0.016957239,18500,0.17087171,0.09878876,-0.04690934,1.729667517,0.002200486
1,17700,848.4,2.1,0.23505013,0.163398227,0.199224178,18518.7,08-Jun-23,NIFTY,0.016957239,18500,0.163398227,0.09878876,-0.044209367,1.654016372,0.001954468
2,17750,795.45,2.25,0.21371369,0.156276945,0.184995318,18518.7,08-Jun-23,NIFTY,0.016957239,18500,0.156276945,0.09878876,-0.041509393,1.58193042,0.00172303
36,17800,757.55,2.45,0.237247805,0.149383,0.193315402,18518.7,08-Jun-23,NIFTY,0.016957239,18500,0.149383,0.09878876,-0.03880942,1.512145707,0.001506171
34,17850,660,2.9,,0.144196603,0.144196603,18518.7,08-Jun-23,NIFTY,0.016957239,18500,0.144196603,0.09878876,-0.036109446,1.459645843,0.001303892
35,17900,649,3.2,0.190554212,0.137240731,0.163897471,18518.7,08-Jun-23,NIFTY,0.016957239,18500,0.137240731,0.09878876,-0.033409473,1.38923427,0.001116193
38,17950,564,3.6,,0.130515271,0.130515271,18518.7,08-Jun-23,NIFTY,0.016957239,18500,0.130515271,0.09878876,-0.030709499,1.321155069,0.000943073
39,18000,557.45,4.4,0.186727522,0.12542579,0.156076656,18518.7,08-Jun-23,NIFTY,0.016957239,18500,0.12542579,0.09878876,-0.028009526,1.269636243,0.000784534
32,18050,509.4,5.15,0.177818981,0.119105402,0.148462192,18518.7,08-Jun-23,NIFTY,0.016957239,18500,0.119105402,0.09878876,-0.025309552,1.205657419,0.000640573
33,18100,459.35,6.55,0.164468593,0.114464967,0.13946678,18518.7,08-Jun-23,NIFTY,0.016957239,18500,0.114464967,0.09878876,-0.022609578,1.158684116,0.000511193
