date,close
2011-01-05,26.25
2011-01-06,25.15
2011-01-07,25.15
2011-01-10,28.65
2011-01-11,27.05
2011-01-12,24.4
2011-01-13,28.25
2011-01-14,29.65
2011-01-17,30.55
2011-01-18,26.55
2011-01-19,25.05
2011-01-20,25.25
2011-01-21,25.2
2011-01-24,31.35
2011-01-25,24.8
2011-01-31,28.7
2011-02-01,27.45
2011-02-02,26.25
2011-02-03,24.35
2011-02-04,26.4
2011-02-07,27.15
2011-02-10,27.25
2011-02-11,22.55
2011-02-14,23.7
2011-02-15,25.85
2011-02-16,26.15
2011-02-17,24.85
2011-02-18,23.05
2011-02-21,30.6
2011-02-22,36
2011-02-23,27.65
2011-02-24,29.45
2011-02-25,29.7
2011-02-28,25.7
2011-03-01,23.6
2011-03-03,23.75
2011-03-04,24.85
2011-03-07,27.65
2011-03-08,27.75
2011-03-09,26.65
2011-03-10,27.35
2011-03-11,27.4
2011-03-14,27
2011-03-15,32.65
2011-03-16,28.7
2011-03-17,27.85
2011-03-18,28.6
2011-03-21,29.1
2011-03-22,25.35
2011-03-23,21.85
2011-03-24,21.1
2011-03-25,20.55
2011-03-28,28.25
2011-03-29,29.65
2011-03-30,22
2011-03-31,22.3
2011-04-01,23.75
2011-04-04,23.4
2011-04-05,24.3
2011-04-06,23.85
2011-04-07,23.05
2011-04-08,22.1
2011-04-11,21.85
2011-04-13,21.95
2011-04-15,22.25
2011-04-18,25
2011-04-19,26.3
2011-04-20,23.4
2011-04-21,22.85
2011-04-25,26.6
2011-04-26,27.2
2011-05-02,25.9
2011-05-03,23.85
2011-05-04,22.7
2011-05-05,22.75
2011-05-06,21.65
2011-05-09,24.55
2011-05-10,23.7
2011-05-11,24
2011-05-12,25.6
2011-05-13,23.35
2011-05-16,24.55
2011-05-17,22.85
2011-05-18,22.95
2011-05-19,20.9
2011-05-20,19
2011-05-23,27.9
2011-05-24,28.85
2011-05-25,21.15
2011-05-26,20.7
2011-05-27,18.45
2011-05-30,20.8
2011-05-31,19.3
2011-06-01,19.75
2011-06-02,20.6
2011-06-03,20.4
2011-06-06,20.45
2011-06-07,21.15
2011-06-08,20.9
2011-06-09,21.25
2011-06-10,20.95
2011-06-13,21.75
2011-06-14,21.05
2011-06-15,23.1
2011-06-16,21.7
2011-06-17,21.7
2011-06-20,23.55
2011-06-21,22.75
2011-06-22,21.85
2011-06-23,20.25
2011-06-24,22.1
2011-06-27,26.2
2011-06-28,25.25
2011-06-29,21.9
2011-06-30,19.95
2011-07-01,20
2011-07-04,19.85
2011-07-05,20.5
2011-07-06,21.05
2011-07-07,20.95
2011-07-08,20.55
2011-07-11,21.2
2011-07-12,23.4
2011-07-13,22.1
2011-07-14,22
2011-07-15,22.2
2011-07-18,23.8
2011-07-19,23.4
2011-07-20,22.25
2011-07-21,21.55
2011-07-22,22.05
2011-07-25,28.95
2011-07-26,26.6
2011-07-27,20.35
2011-07-28,20.1
2011-07-29,21.1
2011-08-01,21.15
2011-08-02,22.9
2011-08-03,21.65
2011-08-04,22.15
2011-08-05,26.85
2011-08-08,31.05
2011-08-09,38.85
2011-08-10,26.85
2011-08-11,31.65
2011-08-12,27.5
2011-08-16,28.45
2011-08-17,29.9
2011-08-18,32.4
