Ticker,Stock,Sector,LTP,1D return,Return attribution,Index weight,Free Float Marketcap
RELIANCE,Reliance Industries Ltd,Energy,2430.35,-0.1522414467052071,-0.01605672941606958,10.546884415228298,827920.68619832
HDFCBANK,HDFC Bank Ltd,Financials,1640.5,-0.27430661383724475,-0.02516772119967079,9.175032584013318,720231.58439855
ICICIBANK,ICICI Bank Ltd,Financials,943.8,-0.28607755880483154,-0.02349786832037851,8.213810415101198,644776.53185946
HDFC,Housing Development Finance Corporation Ltd,Financials,2703.1,-0.47722984721245976,-0.030040669234816228,6.294801008421065,494136.06570382
INFY,Infosys Ltd,Information Technology,1270.25,1.9090730171226138,0.10823797222996837,5.669661205159477,445063.16848510003
ITC,ITC Ltd,Consumer Staples,420.1,0.09521542489883361,0.0044666398839475294,4.691088538115893,368246.11786645
TCS,Tata Consultancy Services Ltd,Information Technology,3214.55,0.4572957334619153,0.018967429013744604,4.1477380228661715,325593.60422154504
AXISBANK,Axis Bank Ltd,Financials,914.6,-0.010933741526350318,-0.0003788641772435259,3.4650917650692876,272006.50343092
KOTAKBANK,Kotak Mahindra Bank Ltd,Financials,1933.9,0.3361083820259579,0.01158383169811801,3.446457249383142,270543.71115915
LT,Larsen & Toubro Ltd,Industrials,2180,-0.37614678899082565,-0.012346096116289203,3.2822548211598126,257653.97219
HINDUNILVR,Hindustan Unilever Ltd,Consumer Staples,2608.55,-0.7283740008817158,-0.02153292176772594,2.956300161957974,232066.83247258002
SBIN,State Bank of India,Financials,575.4,0.20855057351407716,0.005702838244076601,2.7345109380347306,214656.5832243
BHARTIARTL,Bharti Airtel Ltd,Communication Services,797.95,-0.17544958957328152,-0.0043465622383974285,2.4773852415208775,194472.45351206002
BAJFINANCE,Bajaj Finance Ltd,Financials,6773,-0.2421379004872287,-0.005054860992758711,2.0875959453630943,163874.35374700002
ASIANPAINT,Asian Paints Ltd,Materials,3078.85,-0.9808857203176511,-0.015381098815722593,1.5680826519466062,123093.04000154
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,9080,0.2940528634361233,0.004467564857377384,1.519306700561298,119264.172864
HCLTECH,HCL Technologies Ltd,Information Technology,1095.4,1.415008216176739,0.020722331871463284,1.4644672472258635,114959.32642322
M&M,Mahindra and Mahindra Ltd,Consumer Discretionary,1250.4,0.3918746001279591,0.005675570727230042,1.4483129872098865,113691.23193096001
SUNPHARMA,Sun Pharmaceutical Industries Ltd,Health Care,925.1,-0.49183872013836333,-0.006302224741188494,1.2813600237524123,100585.57848614
TITAN,Titan Company Ltd,Consumer Discretionary,2705.55,-0.6024653028034965,-0.007632234327021696,1.266833839476905,99445.28643592501
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,518.3,1.9004437584410574,0.021615990230165135,1.1374180442938668,89286.26603382999
ULTRACEMCO,UltraTech Cement Ltd,Materials,7640,0.46924083769633507,0.0051018504592724515,1.0872562763972533,85348.61358
NTPC,NTPC Ltd,Utilities,173.65,-0.8350129570976101,-0.008755440807447027,1.0485395146297767,82309.383537465
TATASTEEL,Tata Steel Ltd,Materials,104.2,-0.9596928982725527,-0.010021024122900679,1.044190713606251,81968.00667338
POWERGRID,Power Grid Corporation of India Ltd,Utilities,233.2,-1.0506003430531734,-0.010590302271973636,1.0080238733976536,79128.94311828
NESTLEIND,Nestle India Ltd,Consumer Staples,21512.5,-0.7767576990122022,-0.007617251156863047,0.9806470108439037,76979.88469125
BAJAJFINSV,Bajaj Finserv Ltd,Financials,1406.75,-0.6184467744801848,-0.005976227439668672,0.9663285000866557,75855.89482042499
