Ticker,Stock,Sector,LTP,1D return,Return attribution,Index weight,Free Float Marketcap
HDFCBANK,HDFC Bank Ltd,Financials,1637.85,-0.43654791342308513,-0.1345643901974765,30.824655452438726,719068.150263435
ICICIBANK,ICICI Bank Ltd,Financials,947.6,0.11608273533136346,0.03221440482909062,27.751245469132968,647372.58062092
AXISBANK,Axis Bank Ltd,Financials,910.75,-0.4337084820203129,-0.050358567107703374,11.611155694516672,270861.49464215
KOTAKBANK,Kotak Mahindra Bank Ltd,Financials,1929.95,0.13212777533096712,0.015292264042342818,11.573845093537068,269991.12433507503
SBIN,State Bank of India,Financials,571.6,-0.45486354093771875,-0.041579176211507446,9.141021970191405,213238.9693622
INDUSINDBK,Indusind Bank Ltd,Financials,1225,-1.1346938775510205,-0.03457021702060674,3.0466558165642628,71071.45661000001
BANKBARODA,Bank of Baroda Ltd,Financials,178.6,-0.9798432250839866,-0.013977208873896162,1.4264740027873453,33276.3499714
AUBANK,AU Small Finance Bank Ltd,Financials,735.15,-1.6935319322587226,-0.02226205756541897,1.314534266603836,30665.053985865
FEDERALBNK,Federal Bank Ltd,Financials,124.9,-1.4811849479583667,-0.015312735286160395,1.033816560671045,24116.5570574
BANDHANBNK,Bandhan Bank Ltd,Financials,239.5,-1.8789144050104383,-0.016198376008695337,0.8621135675738963,20111.12206295
IDFCFIRSTB,IDFC First Bank Ltd,Financials,65.7,-1.5220700152207,-0.012172341917631896,0.7997228639884155,18655.69078035
PNB,Punjab National Bank,Financials,48.5,0.10309278350515465,0.0006337724144271914,0.6147592419943756,14340.91588405
